                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0985,                 1.6018,                 2.8884,                0.77399,                0.89457,                0.87905,                0.53592,                 1.4091,                 1.0774,                 1.9132,             0.00023725,             0.00023725,             0.00023725
                      2,                 1.3985,                0.95322,                 1.8653,                0.95966,                0.88902,                0.94098,                0.59141,                 1.1383,                0.72007,                 1.4865,             0.00047055,             0.00047055,             0.00047055
                      3,                 1.2262,                 0.7852,                 1.6106,                0.95042,                0.90759,                 0.9434,                0.65502,                0.94439,                0.57914,                 1.2605,             0.00069913,             0.00069913,             0.00069913
                      4,                 1.1299,                0.69763,                 1.4983,                0.94887,                0.91214,                0.95069,                0.68264,                0.94482,                0.55436,                 1.2164,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.0578,                0.65413,                 1.4316,                0.96014,                 0.9345,                0.96005,                0.69157,                0.99992,                0.55048,                 1.2263,             0.00068573,             0.00068573,             0.00068573
                      6,                0.98734,                0.61229,                 1.3668,                0.96505,                0.93191,                0.95947,                0.70993,                0.83355,                0.52657,                 1.0857,             0.00067866,             0.00067866,             0.00067866
                      7,                0.93494,                0.58261,                 1.3185,                0.95701,                0.92861,                0.97282,                0.70942,                0.81311,                0.50628,                 1.0579,             0.00067159,             0.00067159,             0.00067159
                      8,                0.90711,                0.55896,                 1.2894,                0.98532,                 0.9354,                 0.9764,                0.75479,                 0.7468,                0.46815,                 1.0459,             0.00066452,             0.00066452,             0.00066452
                      9,                0.87383,                0.54613,                 1.2661,                0.97494,                0.96103,                0.98638,                0.73014,                0.83128,                0.47589,                 1.0674,             0.00065745,             0.00065745,             0.00065745
                     10,                0.82405,                0.51801,                 1.2285,                0.97144,                0.95363,                0.98707,                0.79163,                0.67869,                0.49865,                 0.9812,             0.00065038,             0.00065038,             0.00065038
                     11,                0.79114,                0.49326,                 1.2057,                0.98604,                0.96567,                0.99009,                0.73572,                0.97711,                0.63078,                 1.1903,             0.00064331,             0.00064331,             0.00064331
                     12,                0.80377,                0.49995,                 1.2126,                0.98552,                0.95847,                0.99028,                0.79803,                0.70463,                0.51964,                0.94541,             0.00063625,             0.00063625,             0.00063625
                     13,                0.75645,                0.47323,                  1.177,                0.98074,                0.97604,                0.99217,                0.78746,                 0.7459,                 0.4823,                  1.019,             0.00062918,             0.00062918,             0.00062918
                     14,                0.73753,                 0.4623,                 1.1641,                0.94885,                0.98203,                0.99031,                0.82815,                0.59968,                0.51407,                0.90604,             0.00062211,             0.00062211,             0.00062211
                     15,                0.72274,                0.45968,                 1.1501,                0.98412,                0.97923,                 0.9926,                0.84344,                0.59242,                0.54623,                0.89418,             0.00061504,             0.00061504,             0.00061504
                     16,                0.70328,                0.44835,                  1.136,                0.99543,                0.97923,                0.99414,                0.83735,                0.57595,                0.47946,                0.89341,             0.00060797,             0.00060797,             0.00060797
                     17,                0.67261,                0.43448,                 1.1171,                0.99654,                0.98334,                0.99414,                0.83633,                0.57789,                0.45801,                0.91441,              0.0006009,              0.0006009,              0.0006009
                     18,                0.64905,                0.42013,                 1.1008,                0.99566,                0.98243,                0.99394,                0.83465,                0.61729,                0.46187,                0.90448,             0.00059383,             0.00059383,             0.00059383
                     19,                0.64808,                0.41857,                 1.0972,                0.99985,                0.97519,                0.99382,                0.84409,                 0.5771,                0.44482,                0.88235,             0.00058677,             0.00058677,             0.00058677
                     20,                0.64044,                0.41428,                   1.09,                0.99655,                0.98028,                0.99365,                0.84427,                0.56255,                0.47171,                0.87437,              0.0005797,              0.0005797,              0.0005797
                     21,                0.63211,                0.41307,                 1.0868,                0.99975,                0.97743,                  0.994,                0.85038,                0.58194,                0.43792,                0.92647,             0.00057263,             0.00057263,             0.00057263
                     22,                0.63104,                0.40796,                 1.0839,                0.99989,                0.97728,                0.99408,                0.86552,                0.51841,                0.41671,                0.85307,             0.00056556,             0.00056556,             0.00056556
                     23,                0.58748,                0.38927,                 1.0696,                0.96654,                0.98755,                0.99381,                0.87305,                0.54814,                0.47025,                0.84809,             0.00055849,             0.00055849,             0.00055849
                     24,                0.60059,                0.38785,                 1.0559,                 0.9997,                0.97752,                0.99409,                0.87544,                0.53266,                0.40576,                0.87861,             0.00055142,             0.00055142,             0.00055142
                     25,                0.58874,                0.38535,                 1.0595,                0.99975,                0.97726,                0.99418,                0.84794,                0.54528,                 0.3966,                0.87209,             0.00054435,             0.00054435,             0.00054435
                     26,                0.57623,                0.37873,                 1.0438,                0.99904,                0.97604,                0.99398,                0.87773,                0.52144,                0.37987,                0.85388,             0.00053728,             0.00053728,             0.00053728
                     27,                0.55197,                0.36425,                 1.0321,                0.99988,                0.97717,                0.99406,                 0.8727,                  0.546,                0.37133,                0.84766,             0.00053022,             0.00053022,             0.00053022
                     28,                0.55215,                 0.3671,                 1.0355,                0.99639,                0.98243,                0.99401,                0.88123,                0.51325,                0.36644,                0.83398,             0.00052315,             0.00052315,             0.00052315
                     29,                0.56237,                0.36797,                 1.0386,                0.99641,                0.98389,                0.99412,                0.89809,                0.45962,                0.36209,                 0.7997,             0.00051608,             0.00051608,             0.00051608
                     30,                0.55193,                0.36103,                 1.0275,                0.99973,                0.97727,                0.99407,                0.89389,                0.46112,                0.34793,                 0.8058,             0.00050901,             0.00050901,             0.00050901
                     31,                0.53804,                0.35619,                 1.0206,                0.99638,                0.98298,                0.99419,                0.89006,                0.47942,                0.36147,                0.81417,             0.00050194,             0.00050194,             0.00050194
                     32,                0.52397,                0.35174,                 1.0182,                0.99981,                0.97696,                0.99417,                0.87773,                0.50371,                0.35534,                0.81429,             0.00049487,             0.00049487,             0.00049487
                     33,                0.51032,                0.34509,                 1.0052,                0.99164,                0.98562,                0.99415,                0.89873,                0.45925,                0.33957,                0.78946,              0.0004878,              0.0004878,              0.0004878
                     34,                0.52731,                0.34893,                 1.0213,                0.99981,                0.97748,                0.99408,                0.89327,                 0.4526,                0.31662,                 0.7877,             0.00048074,             0.00048074,             0.00048074
                     35,                0.50053,                0.33655,                 1.0008,                0.99655,                0.98336,                0.99447,                 0.9071,                0.44908,                0.35255,                0.80249,             0.00047367,             0.00047367,             0.00047367
                     36,                  0.497,                0.33673,                0.99905,                0.99984,                0.97715,                 0.9942,                0.89904,                0.42563,                0.32251,                0.78492,              0.0004666,              0.0004666,              0.0004666
                     37,                 0.5094,                0.33938,                 1.0061,                0.99976,                0.97743,                0.99363,                0.90104,                0.44589,                0.30208,                0.77238,             0.00045953,             0.00045953,             0.00045953
                     38,                0.47962,                0.32715,                0.99481,                0.99972,                0.97749,                0.99419,                0.90573,                0.41974,                0.31715,                0.77589,             0.00045246,             0.00045246,             0.00045246
                     39,                0.48872,                0.33079,                 0.9936,                0.99891,                0.98243,                0.99408,                0.90507,                0.43459,                0.31696,                0.78246,             0.00044539,             0.00044539,             0.00044539
                     40,                0.47876,                0.32379,                0.99262,                0.99601,                0.98562,                 0.9944,                 0.9192,                0.40574,                0.28902,                0.76146,             0.00043832,             0.00043832,             0.00043832
                     41,                0.47835,                0.32297,                  0.988,                0.99958,                0.97923,                0.99412,                0.90933,                0.41149,                0.29037,                0.75872,             0.00043126,             0.00043126,             0.00043126
                     42,                0.46068,                0.31554,                0.97489,                0.99974,                0.97756,                0.99404,                0.90881,                 0.4247,                0.30759,                0.77593,             0.00042419,             0.00042419,             0.00042419
                     43,                0.46384,                0.31821,                0.97884,                0.99963,                0.97923,                0.99392,                0.91804,                0.39686,                 0.2981,                0.75776,             0.00041712,             0.00041712,             0.00041712
                     44,                0.46142,                 0.3161,                0.97938,                0.99637,                0.98629,                0.99442,                0.92053,                0.40427,                0.29373,                  0.763,             0.00041005,             0.00041005,             0.00041005
                     45,                 0.4639,                0.31572,                0.97959,                0.99164,                0.98562,                0.99425,                0.93084,                0.37936,                0.28894,                0.75225,             0.00040298,             0.00040298,             0.00040298
                     46,                0.44346,                0.30966,                0.96718,                 0.9989,                0.97923,                0.99411,                0.91323,                0.38145,                0.28884,                 0.7482,             0.00039591,             0.00039591,             0.00039591
                     47,                0.45431,                 0.3098,                0.97343,                0.99945,                0.97923,                0.99404,                0.92046,                0.37544,                0.29587,                0.74721,             0.00038884,             0.00038884,             0.00038884
                     48,                0.44999,                 0.3099,                0.97087,                0.99942,                0.97923,                0.99401,                0.91592,                0.39121,                0.28666,                0.74575,             0.00038178,             0.00038178,             0.00038178
                     49,                0.45696,                 0.3097,                 0.9753,                0.99909,                0.97923,                0.99419,                 0.9238,                0.36906,                0.26036,                0.73231,             0.00037471,             0.00037471,             0.00037471
                     50,                0.43462,                0.30251,                0.96409,                0.99194,                0.98562,                0.99421,                0.91977,                0.36717,                0.27176,                0.73467,             0.00036764,             0.00036764,             0.00036764
                     51,                0.44238,                0.30479,                0.96708,                0.99222,                0.98562,                0.99435,                0.91196,                0.38395,                0.27188,                0.74745,             0.00036057,             0.00036057,             0.00036057
                     52,                0.43456,                0.30044,                0.96003,                0.99894,                0.97923,                0.99418,                0.92625,                 0.3656,                0.27247,                0.73578,              0.0003535,              0.0003535,              0.0003535
                     53,                0.43594,                0.30148,                0.96429,                0.99898,                0.97923,                 0.9941,                0.92386,                 0.3928,                0.30022,                0.74319,             0.00034643,             0.00034643,             0.00034643
