                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0756,                 1.5637,                 2.8492,                0.91249,                0.82722,                0.88701,                0.40263,                 1.6488,                 1.2555,                 1.9642,             0.00023744,             0.00023744,             0.00023744
                      2,                 1.3886,                0.93531,                 1.8315,                0.97529,                0.86171,                0.94089,                0.55522,                  1.368,                0.87704,                 1.5951,             0.00047073,             0.00047073,             0.00047073
                      3,                 1.2191,                0.77701,                 1.5921,                0.96685,                0.91693,                0.94213,                0.65754,                0.98884,                0.54047,                 1.2708,             0.00069931,             0.00069931,             0.00069931
                      4,                 1.1342,                0.70322,                 1.5014,                0.97008,                0.91693,                0.94522,                0.66529,                0.96347,                0.60682,                 1.1689,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.0408,                0.64445,                 1.4137,                0.97289,                0.93594,                0.96499,                0.63951,                 1.1174,                0.61646,                 1.3135,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.0055,                0.62297,                 1.3764,                 0.9665,                0.95367,                0.96788,                0.71559,                0.84508,                0.48065,                 1.1022,             0.00067866,             0.00067866,             0.00067866
                      7,                0.95176,                0.58787,                 1.3251,                0.98528,                0.95208,                0.96852,                0.72241,                0.89005,                0.58492,                 1.1267,             0.00067159,             0.00067159,             0.00067159
                      8,                0.90028,                0.55459,                 1.2902,                 0.9729,                0.94728,                0.97769,                0.76285,                0.73706,                0.46923,                  1.016,             0.00066452,             0.00066452,             0.00066452
                      9,                0.86839,                0.53941,                 1.2597,                0.98913,                0.94749,                0.97225,                0.75726,                0.82871,                0.51409,                 1.1061,             0.00065745,             0.00065745,             0.00065745
                     10,                0.81841,                0.50854,                  1.225,                0.97038,                0.95847,                 0.9835,                0.78893,                0.69687,                0.51728,                0.96216,             0.00065038,             0.00065038,             0.00065038
                     11,                0.78133,                0.48839,                 1.2003,                0.98818,                0.96166,                0.98699,                0.80486,                0.68102,                0.51838,                0.92079,             0.00064331,             0.00064331,             0.00064331
                     12,                0.77115,                0.48753,                 1.1961,                0.97258,                0.97604,                0.98766,                0.78136,                0.68353,                0.45907,                 0.9423,             0.00063625,             0.00063625,             0.00063625
                     13,                0.73404,                0.46831,                 1.1637,                0.99287,                0.97284,                0.99195,                0.79052,                0.67874,                0.52607,                0.95245,             0.00062918,             0.00062918,             0.00062918
                     14,                0.75637,                0.47825,                 1.1719,                 0.9379,                0.97754,                0.99049,                0.80751,                0.71101,                0.67936,                0.95258,             0.00062211,             0.00062211,             0.00062211
                     15,                0.71326,                0.45496,                 1.1462,                0.99148,                0.96126,                0.99261,                0.80261,                0.64695,                0.48083,                0.91747,             0.00061504,             0.00061504,             0.00061504
