                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1229,                 1.3195,                 1.3761,                0.95552,                 0.8645,                0.93201,                0.63399,                  1.033,                0.84446,                 1.2761,             0.00023725,             0.00023725,             0.00023725
                      2,                0.82318,                0.69387,                 1.1576,                0.95296,                0.93391,                0.96432,                0.73715,                0.79218,                0.62467,                 1.0685,             0.00047055,             0.00047055,             0.00047055
                      3,                0.74497,                0.54362,                 1.1082,                0.96587,                0.95342,                0.98568,                0.77982,                 0.6995,                0.52073,                 1.0105,             0.00069913,             0.00069913,             0.00069913
                      4,                0.68701,                0.46661,                 1.0716,                0.97934,                0.95249,                0.98446,                 0.7995,                0.60802,                0.39441,                0.92223,             0.00069279,             0.00069279,             0.00069279
                      5,                0.62481,                0.42011,                 1.0391,                0.95673,                0.97904,                0.98801,                 0.8165,                0.60897,                0.38866,                0.92321,             0.00068573,             0.00068573,             0.00068573
                      6,                0.57814,                0.38129,                 1.0157,                0.98664,                0.98699,                0.99271,                0.84276,                0.61025,                 0.3757,                0.90213,             0.00067866,             0.00067866,             0.00067866
                      7,                0.54556,                0.35915,                 1.0019,                0.99008,                0.97901,                0.99133,                0.85629,                 0.4977,                0.31529,                0.84578,             0.00067159,             0.00067159,             0.00067159
                      8,                0.52171,                0.34441,                0.98425,                0.99272,                0.97996,                0.99314,                0.86934,                0.48721,                 0.3173,                0.84763,             0.00066452,             0.00066452,             0.00066452
                      9,                0.50401,                0.33214,                0.97633,                0.99279,                0.98562,                0.99415,                0.87693,                0.48912,                0.29468,                0.83333,             0.00065745,             0.00065745,             0.00065745
                     10,                0.47865,                0.31711,                0.96606,                0.99558,                0.98562,                0.99442,                0.88285,                0.43022,                0.27081,                0.79968,             0.00065038,             0.00065038,             0.00065038
                     11,                0.47316,                0.30747,                0.96738,                0.98636,                0.98562,                0.99457,                0.89772,                0.43893,                0.27148,                0.80519,             0.00064331,             0.00064331,             0.00064331
                     12,                0.46014,                0.30225,                0.96036,                0.99902,                0.98243,                0.99452,                0.89384,                0.46605,                0.28588,                 0.8374,             0.00063625,             0.00063625,             0.00063625
                     13,                0.44296,                0.29248,                0.95225,                0.99292,                0.98562,                0.99416,                0.89022,                0.41017,                0.25272,                0.77612,             0.00062918,             0.00062918,             0.00062918
                     14,                0.43742,                0.28721,                0.94911,                0.99987,                0.98339,                0.99445,                0.90117,                0.40861,                0.27408,                0.78986,             0.00062211,             0.00062211,             0.00062211
                     15,                0.42376,                0.28133,                0.94249,                0.99717,                0.97923,                0.99379,                 0.9212,                0.37596,                0.26688,                0.76327,             0.00061504,             0.00061504,             0.00061504
                     16,                0.42083,                0.27694,                0.93965,                0.99073,                0.97747,                0.99466,                0.90685,                 0.3897,                0.23759,                0.75579,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.4068,                0.27297,                0.93319,                0.99905,                0.98403,                0.99447,                0.90928,                0.34569,                0.23737,                0.74952,              0.0006009,              0.0006009,              0.0006009
                     18,                 0.3988,                0.26711,                0.93009,                0.99955,                0.98562,                0.99435,                0.93334,                0.34668,                0.23507,                0.74479,             0.00059383,             0.00059383,             0.00059383
                     19,                0.40156,                0.26819,                0.93073,                0.99963,                0.98562,                0.99438,                0.93197,                0.36598,                0.24002,                0.74863,             0.00058677,             0.00058677,             0.00058677
                     20,                0.39217,                0.25993,                0.92607,                0.99964,                0.98562,                 0.9944,                0.93082,                0.34052,                0.22416,                0.73453,              0.0005797,              0.0005797,              0.0005797
                     21,                0.38781,                0.26501,                0.93094,                0.99553,                0.98707,                0.99452,                0.93516,                0.32903,                0.23272,                0.72866,             0.00057263,             0.00057263,             0.00057263
                     22,                0.38479,                0.26039,                0.92635,                0.99958,                0.98243,                0.99419,                0.92066,                0.38403,                0.27634,                0.77095,             0.00056556,             0.00056556,             0.00056556
                     23,                0.37486,                0.25634,                0.92875,                0.99953,                0.98562,                0.99438,                0.92822,                0.36883,                  0.235,                0.75437,             0.00055849,             0.00055849,             0.00055849
                     24,                0.36808,                0.24842,                0.91632,                0.99953,                0.98562,                0.99439,                 0.9419,                0.32855,                0.23549,                0.71904,             0.00055142,             0.00055142,             0.00055142
                     25,                0.36273,                0.24647,                0.91838,                0.99953,                0.98562,                0.99454,                 0.9353,                0.32468,                0.20694,                0.72561,             0.00054435,             0.00054435,             0.00054435
                     26,                0.35842,                0.24706,                0.91018,                0.97932,                0.98562,                0.99371,                0.94662,                0.31296,                0.23669,                0.72609,             0.00053728,             0.00053728,             0.00053728
                     27,                0.36054,                0.24434,                0.91111,                0.99939,                0.98562,                0.99437,                0.94923,                0.27917,                 0.2008,                0.69503,             0.00053022,             0.00053022,             0.00053022
                     28,                0.34486,                0.23834,                0.90851,                0.99967,                0.98696,                 0.9945,                0.94672,                0.28731,                 0.2052,                 0.6943,             0.00052315,             0.00052315,             0.00052315
                     29,                0.34025,                0.23722,                 0.9078,                0.99927,                0.98562,                0.99426,                0.94756,                0.27918,                0.20119,                0.69171,             0.00051608,             0.00051608,             0.00051608
                     30,                0.33353,                0.22903,                0.90068,                0.99951,                0.98562,                0.99444,                 0.9426,                0.28211,                0.20541,                0.69938,             0.00050901,             0.00050901,             0.00050901
