                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87161,                0.54592,                 1.2919,                0.98539,                0.92372,                  0.967,                0.74023,                0.78483,                 0.4824,                 1.0627,             0.00047367,             0.00047367,             0.00047367
                     36,                0.86447,                0.53459,                 1.2812,                0.95826,                 0.9393,                0.96091,                0.73399,                0.75613,                0.44254,                 1.0545,              0.0004666,              0.0004666,              0.0004666
                     37,                0.87087,                0.55265,                 1.2886,                0.99119,                0.92971,                0.96652,                0.72516,                0.83189,                0.45573,                 1.1198,             0.00045953,             0.00045953,             0.00045953
                     38,                0.82608,                0.51952,                 1.2604,                0.98561,                0.93807,                0.96712,                0.73999,                0.76948,                0.48748,                 1.0452,             0.00045246,             0.00045246,             0.00045246
                     39,                0.81939,                0.50793,                 1.2478,                0.95718,                0.94793,                0.95893,                0.72971,                0.77198,                0.50059,                  1.015,             0.00044539,             0.00044539,             0.00044539
                     40,                0.88149,                0.54459,                 1.2838,                0.95763,                0.95527,                 0.9677,                0.73554,                0.78685,                0.53384,                 1.0839,             0.00043832,             0.00043832,             0.00043832
                     41,                0.83492,                0.52625,                 1.2454,                0.94834,                0.95959,                0.96693,                0.71468,                0.83636,                0.48099,                 1.0504,             0.00043126,             0.00043126,             0.00043126
                     42,                0.82027,                0.51746,                 1.2363,                0.94641,                0.94676,                0.96525,                0.75533,                0.79492,                0.51253,                 1.0625,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.8228,                0.51471,                 1.2454,                0.94957,                0.94022,                0.97196,                0.75274,                0.76388,                0.46538,                 1.0368,             0.00041712,             0.00041712,             0.00041712
                     44,                0.81654,                0.50047,                 1.2278,                0.94666,                0.96326,                0.96175,                0.73969,                0.76683,                  0.439,                 1.0163,             0.00041005,             0.00041005,             0.00041005
                     45,                0.80366,                0.49668,                 1.2217,                0.95169,                0.96166,                0.96341,                0.74952,                0.74803,                0.47534,                 1.0417,             0.00040298,             0.00040298,             0.00040298
                     46,                0.75976,                 0.4875,                  1.211,                0.98106,                0.93737,                0.97992,                 0.7729,                0.71156,                0.47057,                0.99938,             0.00039591,             0.00039591,             0.00039591
                     47,                0.78076,                0.48962,                 1.2089,                0.94658,                0.96166,                0.97665,                 0.7667,                0.68932,                0.45017,                0.98985,             0.00038884,             0.00038884,             0.00038884
                     48,                0.75177,                 0.4667,                 1.1979,                0.98023,                0.94569,                0.97635,                0.77992,                0.70288,                 0.4721,                0.96415,             0.00038178,             0.00038178,             0.00038178
                     49,                0.75585,                0.48386,                 1.2051,                0.97709,                 0.9523,                0.96959,                0.77022,                0.73239,                0.48375,                0.99439,             0.00037471,             0.00037471,             0.00037471
                     50,                0.75014,                0.47672,                 1.1904,                 0.9927,                0.92966,                0.97213,                0.77348,                0.69465,                0.48328,                0.98085,             0.00036764,             0.00036764,             0.00036764
                     51,                0.76871,                0.48131,                  1.206,                 0.9895,                0.94789,                0.97739,                0.78419,                0.69827,                0.48417,                0.98161,             0.00036057,             0.00036057,             0.00036057
                     52,                0.74409,                0.46739,                 1.1909,                0.97283,                 0.9575,                0.97913,                0.77938,                0.70275,                0.51274,                0.97311,              0.0003535,              0.0003535,              0.0003535
                     53,                 0.7581,                0.47437,                 1.2111,                0.98058,                0.93868,                0.98342,                0.80057,                0.63903,                0.48069,                0.95187,             0.00034643,             0.00034643,             0.00034643
                     54,                0.73204,                0.46172,                 1.1887,                0.97772,                0.94636,                0.98237,                0.78512,                0.69148,                0.49991,                 1.0055,             0.00033936,             0.00033936,             0.00033936
                     55,                0.72659,                0.46748,                 1.1894,                0.97298,                0.95122,                0.97926,                0.78671,                 0.6477,                0.42445,                 0.9606,              0.0003323,              0.0003323,              0.0003323
                     56,                0.72719,                0.46073,                 1.1823,                0.95738,                0.96784,                0.98654,                 0.7798,                  0.709,                0.53724,                0.98621,             0.00032523,             0.00032523,             0.00032523
