                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8272,                 2.1724,                 3.6269,                0.00418,                    0.5,                0.08525,                0.02218,                 4.6189,                 3.1254,                 4.0921,             0.00023517,             0.00023517,             0.00023517
                      2,                 2.0382,                 1.5188,                 2.7903,                0.96229,                0.43396,                0.48482,                0.23563,                 2.3487,                 1.4639,                 2.5001,             0.00046848,             0.00046848,             0.00046848
                      3,                 1.7807,                 1.3271,                 2.4033,                0.67862,                0.87185,                0.82455,                0.43362,                 1.5884,                 1.4053,                 2.0343,             0.00069709,             0.00069709,             0.00069709
                      4,                   1.61,                 1.1299,                 2.1307,                0.89702,                0.88601,                 0.8857,                0.50635,                 1.4138,                 1.0509,                 1.7426,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.5236,                 1.0473,                 2.0034,                0.89505,                0.78459,                0.86154,                0.44713,                 1.6559,                0.95267,                 1.9413,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.5603,                 1.0012,                 1.9596,                0.91813,                0.84028,                0.87307,                0.50078,                 1.3776,                0.88153,                 1.6565,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.3498,                0.90005,                 1.7886,                0.96689,                0.85866,                0.91042,                0.59212,                 1.2008,                0.73544,                 1.5845,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.3273,                0.86079,                 1.7449,                0.96049,                0.86102,                0.92396,                0.56361,                 1.3436,                 0.7374,                 1.5793,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.3113,                0.82902,                 1.7106,                0.90734,                0.88823,                0.91847,                0.57516,                 1.3723,                 0.7612,                 1.5831,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2402,                0.80938,                 1.6602,                0.95734,                0.85783,                0.92057,                0.61088,                 1.1767,                 0.7153,                 1.4137,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.2099,                0.75712,                 1.6059,                0.96802,                0.86434,                0.93597,                0.59833,                 1.2128,                0.64811,                 1.5161,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.1511,                0.72432,                 1.5481,                0.95432,                0.88464,                0.93933,                0.62277,                 1.0541,                0.63644,                 1.2959,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.1597,                 0.7202,                 1.5626,                 0.9769,                0.91214,                0.94479,                0.61912,                 1.1683,                0.62284,                 1.4155,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.1551,                0.71686,                 1.5318,                0.95995,                0.89776,                0.94761,                 0.6493,                 1.1243,                 0.6404,                 1.3934,             0.00062211,             0.00062211,             0.00062211
                     15,                  1.137,                  0.698,                 1.5496,                 0.9678,                0.89679,                0.94788,                0.66295,                0.92821,                0.54808,                 1.2369,             0.00061504,             0.00061504,             0.00061504
                     16,                  1.073,                0.66602,                   1.47,                0.97644,                0.91693,                0.94934,                0.63406,                 1.0239,                0.56004,                 1.2616,             0.00060797,             0.00060797,             0.00060797
                     17,                  1.074,                0.65225,                 1.4705,                 0.9789,                0.90809,                 0.9466,                0.64529,                 1.0198,                0.58604,                 1.2745,              0.0006009,              0.0006009,              0.0006009
