                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31082,                0.21512,                0.92893,                      1,                0.98368,                0.99419,                0.96585,                0.23009,                0.15443,                0.67438,              0.0004666,              0.0004666,              0.0004666
                     37,                0.30786,                 0.2115,                0.92917,                0.99969,                0.98059,                0.99437,                0.96575,                0.24163,                0.15895,                0.67334,             0.00045953,             0.00045953,             0.00045953
                     38,                0.30117,                0.21061,                0.92508,                0.99933,                0.98562,                0.99443,                0.96604,                0.23813,                0.15746,                0.67206,             0.00045246,             0.00045246,             0.00045246
                     39,                0.30812,                0.20933,                0.92798,                0.99937,                0.98562,                0.99435,                0.96886,                0.21412,                0.15151,                0.66417,             0.00044539,             0.00044539,             0.00044539
                     40,                0.29805,                0.20678,                0.92271,                0.99912,                0.98562,                0.99435,                0.96699,                 0.2236,                0.15039,                0.66817,             0.00043832,             0.00043832,             0.00043832
                     41,                0.28833,                0.20248,                0.91601,                0.99972,                0.98562,                0.99435,                0.97333,                0.20719,                0.14489,                0.66223,             0.00043126,             0.00043126,             0.00043126
                     42,                0.28014,                0.19815,                0.90855,                0.99971,                0.98562,                0.99437,                0.97357,                 0.2102,                0.14862,                0.66102,             0.00042419,             0.00042419,             0.00042419
                     43,                0.28486,                0.20215,                0.91296,                0.99979,                0.98562,                 0.9943,                 0.9697,                0.21365,                0.13996,                0.66075,             0.00041712,             0.00041712,             0.00041712
                     44,                0.27517,                0.19609,                0.90699,                0.99966,                0.98562,                0.99447,                0.97835,                0.19457,                0.13554,                0.65537,             0.00041005,             0.00041005,             0.00041005
                     45,                0.27331,                0.19286,                0.90984,                0.99981,                0.98562,                0.99449,                0.97758,                0.18619,                0.13261,                0.65213,             0.00040298,             0.00040298,             0.00040298
                     46,                0.26537,                0.18895,                0.90037,                0.99922,                0.98562,                0.99449,                  0.979,                 0.1894,                0.13525,                0.65328,             0.00039591,             0.00039591,             0.00039591
                     47,                0.25981,                0.18824,                0.90136,                 0.9995,                0.98705,                0.99425,                0.98334,                0.18552,                0.12915,                0.65012,             0.00038884,             0.00038884,             0.00038884
                     48,                0.26057,                0.18823,                0.90508,                0.99953,                0.98702,                0.99445,                0.98023,                 0.1861,                0.13465,                0.65051,             0.00038178,             0.00038178,             0.00038178
                     49,                0.25776,                0.18556,                0.90654,                0.99952,                0.98705,                0.99439,                0.97846,                0.17785,                0.12127,                0.64919,             0.00037471,             0.00037471,             0.00037471
                     50,                0.25004,                0.18198,                0.89912,                      1,                0.98704,                0.99442,                0.98495,                0.17994,                0.12704,                  0.647,             0.00036764,             0.00036764,             0.00036764
                     51,                0.24492,                0.17731,                0.89771,                0.99963,                0.98562,                 0.9942,                0.97832,                 0.1893,                0.12935,                0.65059,             0.00036057,             0.00036057,             0.00036057
                     52,                0.24671,                 0.1803,                0.89556,                0.99966,                0.98562,                0.99428,                 0.9808,                0.17744,                0.12351,                0.64539,              0.0003535,              0.0003535,              0.0003535
                     53,                0.24557,                0.17962,                0.89685,                0.99968,                0.98562,                0.99446,                0.98789,                0.16626,                0.12252,                0.64231,             0.00034643,             0.00034643,             0.00034643
                     54,                0.23502,                0.17468,                0.89019,                0.99968,                0.98562,                0.99446,                0.98537,                0.17136,                0.12498,                0.64623,             0.00033936,             0.00033936,             0.00033936
                     55,                0.23267,                0.17403,                0.89037,                0.99968,                0.98562,                0.99449,                0.98657,                0.17257,                0.12627,                0.64408,              0.0003323,              0.0003323,              0.0003323
                     56,                0.22725,                0.17079,                0.88748,                0.99946,                0.98562,                0.99441,                0.98684,                0.16933,                0.11657,                0.64386,             0.00032523,             0.00032523,             0.00032523
                     57,                0.22897,                0.16778,                0.88909,                0.99963,                0.98562,                0.99448,                0.98718,                 0.1601,                0.12082,                0.63945,             0.00031816,             0.00031816,             0.00031816
                     58,                 0.2233,                 0.1662,                0.88941,                0.99967,                0.98562,                0.99447,                0.98827,                0.15688,                0.11825,                0.63713,             0.00031109,             0.00031109,             0.00031109
                     59,                0.21614,                 0.1654,                0.88312,                0.99962,                0.98562,                0.99455,                0.98848,                0.15714,                0.12064,                0.63723,             0.00030402,             0.00030402,             0.00030402
                     60,                0.21571,                0.16252,                0.88377,                0.99968,                0.98562,                0.99449,                0.98804,                0.15782,                0.11426,                0.63822,             0.00029695,             0.00029695,             0.00029695
                     61,                0.21547,                0.16332,                0.88449,                0.99984,                0.98562,                0.99446,                0.98721,                0.15939,                 0.1167,                0.64085,             0.00028988,             0.00028988,             0.00028988
                     62,                0.21294,                0.16138,                0.87977,                 0.9998,                0.98562,                0.99443,                0.98863,                0.15747,                0.11405,                0.63761,             0.00028282,             0.00028282,             0.00028282
                     63,                0.20921,                0.15944,                0.88324,                0.99951,                0.98701,                0.99439,                0.98586,                0.16301,                0.11316,                 0.6374,             0.00027575,             0.00027575,             0.00027575
                     64,                0.20847,                0.16018,                 0.8825,                0.99955,                0.98562,                 0.9945,                0.98851,                0.14802,                0.11012,                0.63397,             0.00026868,             0.00026868,             0.00026868
                     65,                0.20249,                 0.1576,                0.87744,                0.99958,                0.98562,                0.99446,                0.98851,                0.15378,                0.10946,                0.63636,             0.00026161,             0.00026161,             0.00026161
                     66,                0.19761,                0.15398,                0.87497,                0.99968,                0.98562,                 0.9944,                0.99016,                 0.1442,                0.11022,                0.63398,             0.00025454,             0.00025454,             0.00025454
                     67,                0.20197,                0.15526,                0.87846,                0.99942,                0.98562,                0.99442,                0.98854,                0.14192,                0.11148,                0.63435,             0.00024747,             0.00024747,             0.00024747
                     68,                0.19865,                0.15411,                0.87718,                0.99965,                0.98562,                 0.9944,                0.98736,                0.15209,                0.11188,                0.63518,              0.0002404,              0.0002404,              0.0002404
