                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.32262,                0.21948,                0.94312,                0.99937,                0.98562,                0.99441,                0.96172,                0.24001,                 0.1699,                0.68116,              0.0004666,              0.0004666,              0.0004666
                     37,                0.31735,                 0.2149,                0.94214,                0.99273,                0.98562,                0.99415,                0.95896,                0.23589,                0.17521,                0.67554,             0.00045953,             0.00045953,             0.00045953
                     38,                0.31072,                0.21443,                0.93881,                0.99944,                0.98562,                0.99431,                0.95948,                0.23943,                0.16538,                0.67793,             0.00045246,             0.00045246,             0.00045246
                     39,                0.31456,                0.21321,                0.93945,                0.99889,                0.98562,                0.99447,                0.97109,                0.22033,                0.16253,                0.67128,             0.00044539,             0.00044539,             0.00044539
                     40,                0.30925,                0.21204,                0.93592,                0.99963,                0.98562,                0.99444,                0.97223,                0.22287,                0.14983,                0.67694,             0.00043832,             0.00043832,             0.00043832
                     41,                 0.3005,                0.20767,                0.92971,                 0.9996,                0.98562,                 0.9944,                0.96328,                0.21963,                0.15892,                0.67288,             0.00043126,             0.00043126,             0.00043126
                     42,                0.29259,                 0.2008,                0.92129,                0.99969,                0.98562,                0.99438,                0.97656,                0.20822,                0.14697,                0.66381,             0.00042419,             0.00042419,             0.00042419
                     43,                0.30246,                0.20783,                0.92652,                0.99964,                0.98562,                0.99437,                0.97259,                0.21612,                0.15702,                0.66588,             0.00041712,             0.00041712,             0.00041712
                     44,                0.28814,                0.20222,                0.92112,                0.99976,                0.98562,                0.99438,                0.97629,                0.21008,                 0.1443,                0.66118,             0.00041005,             0.00041005,             0.00041005
                     45,                0.28985,                0.20178,                0.92236,                0.99951,                0.98703,                0.99443,                0.97727,                0.21328,                0.14643,                0.66412,             0.00040298,             0.00040298,             0.00040298
                     46,                0.27754,                0.19474,                0.91201,                0.99978,                0.98562,                0.99438,                0.97894,                0.20038,                0.14349,                0.65828,             0.00039591,             0.00039591,             0.00039591
                     47,                0.27569,                0.19234,                0.91329,                0.99964,                0.98562,                 0.9943,                0.97637,                0.19425,                0.13855,                 0.6554,             0.00038884,             0.00038884,             0.00038884
                     48,                0.27616,                0.19496,                0.91895,                0.99938,                0.98562,                0.99449,                0.98235,                0.18755,                0.13832,                0.65401,             0.00038178,             0.00038178,             0.00038178
                     49,                0.27225,                0.19049,                 0.9188,                0.99967,                0.98562,                0.99427,                0.97897,                0.18731,                0.13987,                0.65644,             0.00037471,             0.00037471,             0.00037471
                     50,                 0.2652,                0.18831,                0.91069,                0.99981,                0.98562,                 0.9945,                0.98087,                0.18347,                0.13501,                0.65297,             0.00036764,             0.00036764,             0.00036764
